id,topic,question,why_it_matters,evidence,findings,blocking_step,owner,impact,blocks_current_labeling,status
OQ-011,반-클래스 매핑,P9-MCCB반 후보 2종(MCCB / MCCB 접촉부)을 확정해도 되는가,가이드에 P9 단독 상세가 없어 잠정 배정 상태이며 기존 라벨 실적이 0건이다,experiments/dedup/oq_probe/P9_rep_0~1.png (37개 세션x카메라 조합에서 74장 층화표본),MCCB 가 조밀하게 배열된 배전반이 지배적이며 잠정 후보와 부합. 다만 육안 확인일 뿐 기존 라벨 실적이 없어 P3 만큼의 근거는 없다,STEP 11 시드셋 구성,사람 판정,seed_composition,NO,열림
OQ-012,시드셋 설계,후보 클래스가 미확정인 잠정 반(P3·P9)에 시드 할당 하한을 둘 것인가,P3 는 후보 5종이 전부 P4 에도 있어 클래스 수요 역산에서 최저 할당(15장)을 받았다. 검증이 가장 필요한 반이 표본을 가장 적게 받는 구조다,reports/data_audit/seed_allocation.csv · DEC-010,설계를 바꾸지 않고 사실만 기록했다. 표집 설계 변경은 사람 판단,STEP 11 시드셋 확정,사람 판정,seed_composition,NO,열림
OQ-013,정본 라벨 품질,정본의 같은 클래스 중복 20건을 어떻게 처리할 것인가 (수정 / 격리 / 유지),그대로 두면 학습에서 같은 인스턴스가 두 번 세어져 지표가 왜곡된다. 다만 정본 수정은 되돌리기 어렵다,DEC-017 · data/labeling/quarantine/canonical_quarantine.csv,"DEC-017 처리: QUARANTINE_PENDING_REVIEW. 정본 파일은 수정하지 않고 격리 목록에만 등재. 20쌍 40행(고유 박스 37 = 정본의 0.89%), 17장, 전부 P1. 두 박스를 모두 등재했다 — 어느 쪽이 옳은지 모르므로 한쪽만 고르지 않는다. 학습셋 구축 시 load_quarantine() 이 걸러 낸다. 학습 대상 박스 4,140 | DEC-022 판정 완료(REV-003): 20쌍 육안 판정 — 큰쪽_유지 11 · 작은쪽_유지 8 · 둘다_제외 1 · **둘다_유효(감사 오탐) 0건**. 격리 고유 박스 37 중 해제 18 · 제외확정 19. 학습 대상 4,177 -> 4,158. 정본 파일은 수정하지 않고 격리 목록 status 에만 기재. 발견: 면적비 1.5 가 분기점 — >=1.5 는 큰쪽(9/10), <1.5 는 작은쪽(8/10), 18/20 일치. 17/20 이 CONTACT_POINT 단위 클래스(몰드변압기 접촉부)에 몰려 있다",-,DEC-022,canonical_label_quality,-,닫힘
OQ-014,정본 라벨 품질,프레임 2변 이상 접촉 17건이 잘림 30% 규칙을 어겼는가,좌표만으로는 원래 면적을 알 수 없어 판정이 불가능하다. 사람이 이미지를 봐야 한다,DEC-016 D항 · canonical_audit_detail.csv audit_rule=잘림 30% 규칙,"2변 이상 접촉 17건을 개별 지적 사항으로 기록했다. 1변 접촉 1,207건(28.9%)은 규격상 정상 범위",-,사람 확인,canonical_label_quality,NO,열림
OQ-015,학습셋 분할,train/val/test 비율 70/15/15 를 확정해도 되는가,프로젝트 문서 어디에도 비율 지정이 없다. 관례값을 근거처럼 쓰면 검증에서 답할 수 없다,DEC-018 3항 · scripts/build_splits.py DEFAULT_RATIO,"현재 70/15/15 로 돌리면 train 27,270 / val 5,842 / test 5,845 클러스터. 반별 train 67.7~72.0%, 카메라별 69.8~70.1% 로 균형은 문제없다. 다만 비율 숫자 자체에는 근거가 없다. 정본 라벨 1,036장이 train 723 / val 155 / test 158 로 갈린다(69.8/15.0/15.3%) | [잠정정책 2026-08-28 · DEC-019] 70/15/15 를 프로젝트 기본 분할 정책으로 적용한다. 정본 라벨에서는 69.8/15.0/15.3 으로 구현됐다. 비율 자체의 근거는 확립하지 않았으며 '관례값을 기본값으로 채택했다'로 보고한다",최종 학습셋 고정,사람 판정,trainset_split,NO,열림
OQ-016,학습셋 분할,"근접 미달 쌍 교차 41,184건(42.8%)을 잔여 위험으로 수용할 것인가",이 쌍들이 실제로 같은 장면이면 val/test 지표가 부풀려진다. 반대로 다른 장면이면 아무 문제 없다. 아직 검증되지 않았다,DEC-018 5·6항 · reports/data_audit/split_leakage.csv · reports/data_audit/oq016/ · scripts/oq016_sample.py,"해밍 <=22 이면서 코사인 0.90~0.93 인 쌍 96,292 중 41,184(42.8%)이 split 을 가로지른다. DEC-008 의 과소병합 선택이 만든 비용이다. 대안 두 가지를 실측해 모두 기각했다 — (1) 임계값을 낮춰 연결요소로 묶으면 최대 그룹이 12,289~19,370장으로 폭주해 비율을 맞출 수 없다 (2) 세션 단위 분할은 근접 미달 쌍 교차를 32,214(-21.8%)로 줄이지만 클러스터 교차 490건이라는 확실한 누수를 새로 만들고 P4·P7 의 val 이 0장이 된다. 남은 검증 방법은 표본 육안 확인 확대뿐이다 (현재 4건만 확인) | [잠정정책 2026-08-28 · DEC-019] cluster 단위 분할을 기본 정책으로 유지한다. 세션 분할 대안은 실측 후 기각(클러스터 교차 490 + P4/P7 val 0장). 근접 미달 쌍 교차 42.8%는 '확정 중복'이 아니라 '같을 수도 있는 쌍'이므로 잔여 위험으로 기록만 하고 표본 육안 확인 확대는 라벨 수집 후로 미룬다 | [표본 확보 2026-08-31] 육안 검증을 4건 -> **101쌍**으로 확대했다. 층 139개(반×카메라×세션관계×코사인 4분위)에서 비례 배분(균등 아님), 모집단의 0.245%. 재현 결과 96,292 / 41,184(42.8%) 일치, **같은 cluster 인데 split 이 다른 쌍 0건**. 또 새로 측정: 아무 관계 없는 무작위 쌍(같은 반·카메라)도 코사인 0.90~0.93 에 7.2%(같은 세션)~15.5%(다른 세션), 해밍<=22 에 24.8%~13.9% 가 든다. **즉 근접 미달 조건 자체가 중복의 강한 증거가 아니며 42.8%를 누수율로 읽으면 안 된다.** 산출물 reports/data_audit/oq016/ · 검토 이미지 101장. 판정 대기 | [판정 완료 2026-09-01 · REV-005] 101/101 육안 판정. SAME_SCENE 20 · NEAR_DUPLICATE 2 · DIFFERENT_SCENE 79 · UNCERTAIN 0. 표본 위험 21.8% · **모집단 가중 추정 20.0%** (교차 41,184 중 약 8,200쌍). **유사도 구간에 뚜렷한 문턱**: 0.9000~0.9079 0% · 0.9079~0.9155 4% · 0.9155~0.9228 37% · 0.9228~0.9300 44%. 위험 22쌍 중 21쌍이 0.9155 이상. 카메라 IR3 50% vs IR2 13.2% · 같은 세션 28.8% vs 다른 세션 8.6%. 같은 cluster 인데 split 다름 0건(설계는 정상) · 같은 세션인데 DIFFERENT 47건 · 다른 세션인데 SAME/NEAR 3건 — 세션 단위 분할로도 못 막는다. **[정정] 표본 설계 때의 잠정 판단 SAFE_TO_KEEP 을 철회한다** — 무작위 대조로 '밴드가 잡음' 이라 했으나 밴드를 뭉뚱그린 것이 잘못이었다. 하단은 잡음이지만 상단 37~44% 는 실제 동일 시야다. **판정: CASE C — cluster split 최종 확정 보류**. 다음: 병합 임계값 0.93 -> 0.9155 의 클러스터 영향 측정(DEC-008 은 0.90 만 시험했다). 근거 reports/data_audit/oq016/RESULT.md | [임계값 보정 실험 2026-09-01] 코사인만 독립변수로 0.93~0.910 7단계 측정 (해밍<=22·리더 방식·순서·동점 처리 전부 고정). **기준선 재현 검증 통과** — cos 0.93 에서 38,957 클러스터로 기존과 일치. **폭주 없음**: 최대 클러스터 84 -> 109, top10 비중 0.50% -> 0.63%. DEC-008 의 0.90 폭주(12,289~19,370)는 연결요소 방식이라 **직접 비교 불가**. 그러나 **capture 가 낮다** — 임계값 이상인 위험 쌍 중 같은 클러스터가 되는 것은 14~18% 뿐이다. 리더 방식은 '대표와 직접 비슷할 때만' 붙이므로 두 이미지가 서로 비슷해도 각자 다른 리더에 붙으면 분리된다. **즉 문제는 임계값이 아니라 리더 방식의 구조적 성질이다.** 0.93->0.9155 로 바뀌는 11쌍 중 SAME_SCENE 3 · DIFFERENT_SCENE 8 (얻는 것보다 치르는 것이 크다). 0.91~0.93 어디에도 sweet spot 없음. 남은 선택지: (1)현행 유지+잔여 위험 문서화 (2)split 단계 제약(cluster 무수정) (3)feature 교체(범위 밖). 근거 experiments/dedup/threshold_calibration/RESULT.md | [split 제약 시뮬레이션 2026-09-01] 클러스터를 바꾸지 않고 분할 단계에서만 근접 후보를 같은 split 에 두는 제약을 측정했다(READ-ONLY). S0 가 현행 재현. **S1(사람 판정 22쌍만): 실현 가능** — 비율 70.0/14.9/15.1 · 최대 덩어리 84(변화 없음) · 강제이동 143장(0.13%) · 반별 val/test 고갈 없음. **S2~S4(코사인 0.9155/0.920/0.925 후보 전체): 기각** — 최대 덩어리 12~14%(13,160~14,830장) 폭주, val 이 8.3~11.3% 로 붕괴, 강제이동 22%대. **그러나 S1 은 효과가 거의 없다** — 22쌍은 모집단 추정 8,200쌍의 **0.27%** 뿐이다. 범위를 넓히면 분포가 무너지고, 8,200쌍 육안 판정은 비현실적이다. **중간 지점이 없다.** 종합 CASE C — 현행 cluster split + 임계값 0.93 유지 + 잔여 위험 문서화가 측정이 가리키는 방향. 결정은 사람이 한다. 근거 experiments/dedup/split_constraint_sim/RESULT.md | **DEC-023 종결**: decision=KEEP_CURRENT_CLUSTER_SPLIT · threshold=0.93 · residual_risk=근접 후보군 내 동일 시야 잔여 가능성(known limitation 으로 관리). 이유 — 임계값 보정에서 더 나은 trade-off 없음 · 자동 split 제약 시 분포 왜곡 · human-positive 제약은 효과 미미(0.27%). **20.0% 는 전체 데이터 누수율이 아니다** — REV-005 층화 표본 101쌍 기반의 '근접 유사 후보군 내 동일 시야 위험' 추정치이며 분모는 교차 후보쌍 41,184, 8,200은 쌍이지 이미지 수가 아니다. KNOWN_LIMITATIONS.md KL-1 에 등재",-,DEC-023,trainset_split,-,닫힘
OQ-017,데이터 특성,라디오메트릭 온도를 쓸 것인가. IR2·IR3(97.6%)는 온도가 없다,온도를 입력으로 쓰는 설계는 전체의 2.4%에만 적용된다. 나중에 알면 설계를 되돌려야 한다,reports/data_audit/flir_compat.md · flir_compat.csv · pilot/flir.py,"반x카메라 30개 층 x 10장 = 표본 300장 확인. pilot/flir.py 는 수정 없이 동작한다(FLIR E8 320x240, 내장 실화상 640x480, 온도 17.7~96.7C). 카메라별로 완전히 갈린다 — IR1 100/100 성공, IR2 0/100, IR3 0/100. 실패 사유는 'FLIR APP1 세그먼트 없음'. 전수 구성은 IR1 2,512장(2.4%) / IR2 54,686(51.3%) / IR3 49,487(46.4%). 즉 온도 값을 갖는 이미지는 2.4%뿐이다. 정본 라벨 1,036장은 전부 IR1 이다. 표본 확인이므로 IR2/IR3 에 '전혀' 없다고 단정하지는 않는다 — 층당 10장에서 예외 0건까지가 확인된 사실이다 | [잠정정책 2026-08-28 · DEC-019] 온도 사용 여부를 지금 결정하지 않는다. 1차 목표가 객체 라벨링이므로 현재 라벨링 작업의 blocker 가 아니다(blocks_current_labeling=NO). 이 단계의 성과는 'IR1 에서 온도 추출이 가능하다'를 확인한 것까지이며, 입력 설계 결정은 모델 단계로 넘긴다",모델 입력 설계,사람 판정,future_model_input,NO,조사완료·판정대기
NQ-1,참고 라벨 품질,6ban/9ban 의 빈 라벨 중 판단 보류 31장과 A3 세션 44장은 미작업인가 정상 음성인가,미작업을 정본으로 올리면 실제 대상을 배경으로 학습시킨다. 빈 annotation != 정상 != 객체 없음,reports/data_audit/nq1_empty_label_verdict.csv · nq1_session_summary.csv · experiments/seed_selection/newlabel_probe/6ban_suspect.png,전수 판정: 6ban 미작업 의심 16(12.5%) 보류 22 정상음성가능 90 / 9ban 의심 4 보류 9 정상음성가능 73. 의심 상위 6건 육안 검증 결과 5건이 거의 같은 프레임인데 한쪽만 라벨됨 -> 미작업 확정적. A3 세션 44장은 최근접이웃 유사도 중앙 0.926 이고 이웃이 라벨된 경우 4/44 이며 설비 구성이 A1·A2 와 달라 미작업이 아닐 가능성이 높다,참고 라벨의 정본 승격,사람 판정,canonical_promotion,NO,조사완료·잔여 판정대기
NQ-2,반-클래스 매핑,P9 에 라벨된 콘덴서 1개를 어떻게 볼 것인가,OQ-011(P9 후보 확정)의 실측 증거다. 1개뿐이라 오라벨 가능성도 있다,reports/data_audit/newlabels_class_dist.csv,9ban 2793박스 중 콘덴서 1개. P9 의 v2 후보에는 없다,OQ-011 P9 후보 확정,사람 판정,seed_composition,NO,열림
NQ-3,제외 클래스 처리,P9 의 ACB 접촉부 20개를 승계 시 버릴지 ignore 로 보존할지,버리면 되돌릴 수 없다. v2 는 ACB 접촉부를 항상 제외로 둔다,reports/decisions/DEC-011,DEC-011 결정: 원본은 data/backup/P9_9ban 에 보존하고 학습용 정본에서만 제외(QUARANTINE). 삭제하지 않는다,-,DEC-011,-,-,닫힘
NQ-4,경계 규칙,케이블헤드 박스에 상부 도체·엘보를 포함하는가,OQ-006 확정에 직결. 387개 중 두 방식이 섞여 있다,reports/decisions/DEC-012 · experiments/.../cable_head_boundary/case_01~06,"전수 측정: 등가 쌍 251개 높이비 중앙 1.10, >=1.5 는 5개(2%). 형태는 대체로 일관적이나 상부 도체 포함 여부는 갈린다(case_01 포함 vs case_03 왼쪽 제외, 같은 프레임 내 높이비 2.47). DEC-012: CONDITIONAL 로 두고 확정 보류. 엘보는 사례 1건뿐이라 UNKNOWN | DEC-013: 가이드 예시 이미지로 상부 금속 단자·수직 도체 INCLUDE, 하부 케이블 EXCLUDE 확정. 엘보만 UNKNOWN 으로 남아 NQ-10 으로 분리",-,DEC-013,-,-,닫힘
NQ-5,경계 규칙,6ban 의 중첩(nested) 박스는 의도된 것인가,라벨러마다 다른 시각 기준을 썼다는 신호다. 같은 클래스면 규칙 위반,experiments/seed_selection/newlabel_probe/6ban_zoom_0.png · newlabels_edge_cases.csv,DEC-012 에서 규칙으로 확정: 같은 인스턴스에 의미가 겹치는 박스를 두 개 그리지 않는다. 한 조에 한 박스. 위반 사례 case_04·case_05 로 예시 확보. 기존 라벨은 수정하지 않는다,-,DEC-012,-,-,닫힘
NQ-6,참고 라벨 품질,6ban/9ban 의 검수 상태는 어디까지인가,정본 P1 은 1차->A1->A2->A3검수완료 계보가 파일로 확인됐다. 이 소스에는 그런 이력이 없다,reports/decisions/DEC-003 · DEC-011,검수 단계 폴더가 없어 이력을 파일로 확인할 수 없다,참고 라벨의 정본 승격,사람 확인,canonical_promotion,NO,열림
NQ-7,참고 라벨 범위,IR1 전수만 라벨된 것은 의도인가,두 소스 모두 IR1 100%다. 전체 데이터셋의 대표 정답셋이라고 부를 수 없다,reports/data_audit/newlabels_summary.csv,DEC-011: annotation_scope=IR1_only 메타데이터를 유지한다. 그 자체로 문제는 아니며 대표성 표기만 주의한다,-,DEC-011,-,-,닫힘
NQ-8,클래스 정의,"케이블헤드(#14)는 종단접속재 본체만인가, 분기 도체까지 포함하는가",구 명칭 분기 접촉부와 v2 명칭 케이블헤드가 가리키는 물리적 범위가 다를 수 있다. 기존 박스가 상부 도체를 포함한 것은 분기 접촉부 기준으로는 자연스럽지만 케이블헤드 기준으로는 과할 수 있다. 이 판정 없이는 상부 도체·엘보 항목을 채울 수 없고 라벨러 문구를 배포할 수 없다,reports/decisions/DEC-012 · experiments/.../cable_head_boundary/case_01 vs case_03,"DEC-013 결정: semantic_same. 가이드 v2 가 3곳에서 ""명칭을 통일한다""로 기술하고 범위 변경 표현이 없다. 결정적으로 가이드의 케이블헤드 예시 이미지 2장이 CVAT 라벨명 ""분기 접촉부""로 되어 있다. 가설 B(부분집합)와 C(상이)는 기각. 다만 의미 동일성이 정본 승격을 뜻하지는 않는다",-,DEC-013,-,-,닫힘
NQ-9,마이그레이션 검증,구 26개 중 나머지 25종의 의미 동일성을 어떻게 검증할 것인가,15번은 검증했으나 나머지는 기술적 변환만 확인된 상태다. semantic_status 필드는 25종 검증 계획과 함께 도입해야 한다,reports/decisions/DEC-013 7항 · schemas/classes_v1_26.py,구조 충돌은 없다(필드 추가 방식). 다만 미검증 상태에서 필드만 넣으면 전부 공란이 되어 오해를 부른다. 코드 미변경,정본 승격 일반,사람 판정,canonical_promotion,NO,열림
NQ-10,경계 규칙,케이블헤드 박스에 엘보를 포함하는가,가이드 예시 2장에 엘보 구성이 없어 근거가 없다. 이 항목만 비면 라벨러 지침서를 배포할 수 없다,experiments/.../cable_head_boundary/case_04 (엘보를 별도 박스로 처리한 유일 사례),"DEC-016 유지 결정: PENDING_EXPERT_REVIEW. 더 파지 않는다 — 가이드 예시에 엘보 구성이 없고 참고 라벨에도 1건뿐이라 데이터를 더 뒤져도 근거가 나오지 않는다. 지침서 v1 에 ""임의로 포함/제외하지 않고 검수 대상으로 분류"" 로 명시했다. ""엘보 제외""라는 잘못된 정책을 만들지 않으면서 라벨러 간 편차를 막는다",케이블헤드 지침서 배포,전문가 확인 또는 현장 사진 추가,labeling_rules,NO,열림(HOLD)
NQ-11,경계 규칙,MCCB 접촉부(#28)를 단자군 단위로 확정해도 되는가,정본 2종(몰드변압기·변류기 접촉부)은 개별 접속점 단위인데 참고 등급 P9 만 단자군 단위다. 단위가 다르면 인스턴스 수가 달라져 지표가 흔들린다,DEC-015 · nq11_mccb_unit.csv · guide_images/18_crop_left.png,DEC-015 확정: TERMINAL_GROUP. 근거 — (1) 가이드 ACB&MCCB 반 전경 이미지가 본체 외곽+좌우 단자군으로 그려짐 (2) P9 1777박스 기기당 2.00 / 좌우비 0.91 / 89% 본체 안 / 세로비 0.922(p25-p75 0.87~0.97) (3) 3현장 4건물 8세션 재현 (4) 정본 2종 세로비 0.38~0.46 과 명확히 구분. 단서: 가이드 예시 캡션은 ACB 접촉부이며 #28 직접 예시는 없다. P8 에는 적용하지 않는다,-,DEC-015,-,-,닫힘
