case_id,delivered_as,group,image_id,panel,camera,session,cluster_id,cluster_size,is_representative,has_rgb_pair,panel_quota,quota_driving_class,target_class,difficulty_flags,why_this_panel_or_bucket,why_this_image,what_was_dropped,known_weakness,existing_label
A13,A13.jpg,A_본대상,P6/A1_B2_P6_2022-05-12_IR1_00001,P6-VCB반,IR1,P6|A1_B2_2022-05-12_IR1_,P6-C61570,1,1,1,61,SA,케이블헤드,,"P6-VCB반 은 케이블헤드 의 단위를 검증할 반이다. 시드 후보 61장 중 촬영 세션 23개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P6|A1_B2_2022-05-12_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A14,A14.jpg,A_본대상,P6/A1_B3_P6_2022-05-24_IR1_00001,P6-VCB반,IR1,P6|A1_B3_2022-05-24_IR1_,P6-C63066,1,1,1,61,SA,케이블헤드,,"P6-VCB반 은 케이블헤드 의 단위를 검증할 반이다. 시드 후보 61장 중 촬영 세션 23개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P6|A1_B3_2022-05-24_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A15,A15.jpg,A_본대상,P9/A1_B1_P9_2022-07-19_IR2_00000,P9-MCCB반,IR2,P9|A1_B1_2022-07-19_IR2_,P9-C75364,7,1,0,21,MCCB,MCCB 접촉부,,"P9-MCCB반 은 MCCB 접촉부 의 단위를 검증할 반이다. 시드 후보 21장 중 촬영 세션 14개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P9|A1_B1_2022-07-19_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A16,A16.jpg,A_본대상,P9/A1_B2_P9_2022-07-19_IR2_00001,P9-MCCB반,IR2,P9|A1_B2_2022-07-19_IR2_,P9-C77293,8,1,0,21,MCCB,MCCB 접촉부,,"P9-MCCB반 은 MCCB 접촉부 의 단위를 검증할 반이다. 시드 후보 21장 중 촬영 세션 14개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P9|A1_B2_2022-07-19_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 1장,같은 세션 후보 1장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A17,A17.jpg,A_본대상,P9/A1_B2_P9_2022-07-19_IR3_00001,P9-MCCB반,IR3,P9|A1_B2_2022-07-19_IR3_,P9-C80247,1,1,0,21,MCCB,MCCB 접촉부,,"P9-MCCB반 은 MCCB 접촉부 의 단위를 검증할 반이다. 시드 후보 21장 중 촬영 세션 14개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P9|A1_B2_2022-07-19_IR3_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A18,A18.jpg,A_본대상,P9/A1_B3_P9_2022-07-19_IR2_00001,P9-MCCB반,IR2,P9|A1_B3_2022-07-19_IR2_,P9-C81355,4,1,0,21,MCCB,MCCB 접촉부,,"P9-MCCB반 은 MCCB 접촉부 의 단위를 검증할 반이다. 시드 후보 21장 중 촬영 세션 14개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P9|A1_B3_2022-07-19_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
B01_잘림-2변이상,B01_잘림-2변이상.jpg,B_난이도,A1_B1_P4_2022-05-12_IR1_00001,P4-MOF&PT반,IR1,,P4-C51561,1,1,,30,변압기,변압기 / 변압기 접촉부 / 비한류형 전력퓨즈,잘림-2변이상 다른클래스겹침,실패 유형 '잘림-2변이상' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-2변이상 다른클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 7박스 (라벨러에게 비공개)
B02_잘림-2변이상,B02_잘림-2변이상.jpg,B_난이도,A1_B1_P4_2022-05-12_IR1_00015,P4-MOF&PT반,IR1,,P4-C51574,1,1,,30,변압기,변류기,잘림-2변이상,실패 유형 '잘림-2변이상' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-2변이상,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 1박스 (라벨러에게 비공개)
B03_잘림-2변이상,B03_잘림-2변이상.jpg,B_난이도,A1_B1_P4_2022-05-12_IR1_00021,P4-MOF&PT반,IR1,,P4-C51580,1,1,,30,변압기,변류기,잘림-2변이상 같은클래스겹침,실패 유형 '잘림-2변이상' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-2변이상 같은클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 2박스 (라벨러에게 비공개)
B01_작은객체,B01_작은객체.jpg,B_난이도,A1_B1_P9_2022-05-12_IR1_00002,P9-MCCB반,IR1,,P9-C75279,1,1,,21,MCCB,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,실패 유형 '작은객체' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 10박스 (라벨러에게 비공개)
B02_작은객체,B02_작은객체.jpg,B_난이도,A1_B1_P9_2022-05-12_IR1_00050,P9-MCCB반,IR1,,P9-C75326,1,1,,21,MCCB,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,실패 유형 '작은객체' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 13박스 (라벨러에게 비공개)
B03_작은객체,B03_작은객체.jpg,B_난이도,A1_B2_P9_2022-05-12_IR1_00003,P9-MCCB반,IR1,,P9-C77256,1,1,,21,MCCB,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,실패 유형 '작은객체' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 31박스 (라벨러에게 비공개)
B01_다른클래스겹침,B01_다른클래스겹침.jpg,B_난이도,A1_B1_P4_2022-05-12_IR1_00080,P4-MOF&PT반,IR1,,P4-C51635,1,1,,30,변압기,변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,실패 유형 '다른클래스겹침' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 다른클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 6박스 (라벨러에게 비공개)
B02_다른클래스겹침,B02_다른클래스겹침.jpg,B_난이도,A1_B1_P4_2022-05-12_IR1_00088,P4-MOF&PT반,IR1,,P4-C51643,3,1,,30,변압기,변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,실패 유형 '다른클래스겹침' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 다른클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 5박스 (라벨러에게 비공개)
B03_다른클래스겹침,B03_다른클래스겹침.jpg,B_난이도,A1_B1_P6_2022-05-12_IR1_00012,P6-VCB반,IR1,,P6-C58874,1,1,,61,SA,VCB 접촉부 / 케이블헤드,다른클래스겹침,실패 유형 '다른클래스겹침' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 다른클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 3박스 (라벨러에게 비공개)
B01_같은클래스겹침,B01_같은클래스겹침.jpg,B_난이도,A1_B1_P1_2022-05-12_IR1_00090,P1-TR반,IR1,,P1-C5310,1,1,,30,철심부,몰드변압기 접촉부 / 철심부,잘림-1변다수 같은클래스겹침,실패 유형 '같은클래스겹침' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 같은클래스겹침,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,canonical 5박스 (라벨러에게 비공개)
B01_같은클래스밀집,B01_같은클래스밀집.jpg,B_난이도,A1_B1_P9_2022-05-12_IR1_00003,P9-MCCB반,IR1,,P9-C75280,1,1,,21,MCCB,MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,실패 유형 '같은클래스밀집' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 다른클래스겹침 같은클래스밀집,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 23박스 (라벨러에게 비공개)
B02_같은클래스밀집,B02_같은클래스밀집.jpg,B_난이도,A1_B1_P9_2022-05-12_IR1_00030,P9-MCCB반,IR1,,P9-C75306,2,1,,21,MCCB,MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,실패 유형 '같은클래스밀집' 이 기존 라벨 좌표로 **측정되어** 확인된 이미지. 눈으로 고른 것이 아니라 좌표 계산으로 걸렀다,해당 유형 버킷에서 파일명 정렬 순으로 앞선 것. 동반 유형: 잘림-1변다수 다른클래스겹침 같은클래스밀집,같은 유형의 다른 이미지들 — 유형별 할당량(잘림2변 3 · 작은객체 3 · 다른클래스겹침 3 · 같은클래스겹침 1 · 밀집 2)을 채운 뒤 중단,버킷 안에서는 파일명 순으로 골랐다. 대표성보다 유형 포함이 목적이다,reference 8박스 (라벨러에게 비공개)
