source,panel_id,image,session,cluster_id,cluster_size,labeled_cluster_mates,cluster_mate_example,nearest_neighbor,nn_similarity,nn_is_labeled,verdict
6ban,P6,A1_B1_P6_2022-05-12_IR1_00078,P6|A1_B1_2022-05-12_IR1_,P6-C58939,1,0,,A1_B1_P6_2022-05-12_IR1_00077,0.9264,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B1_P6_2022-06-17_IR1_00001,P6|A1_B1_2022-06-17_IR1_,P6-C58940,1,0,,A1_B1_P6_2022-06-17_IR1_00002,0.9523,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-06-17_IR1_00002,P6|A1_B1_2022-06-17_IR1_,P6-C58941,1,0,,A1_B1_P6_2022-06-17_IR1_00001,0.9523,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-06-17_IR1_00005,P6|A1_B1_2022-06-17_IR1_,P6-C58944,1,0,,A1_B1_P6_2022-06-17_IR1_00006,0.9356,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-06-17_IR1_00006,P6|A1_B1_2022-06-17_IR1_,P6-C58945,1,0,,A1_B1_P6_2022-06-17_IR1_00005,0.9356,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-06-17_IR1_00022,P6|A1_B1_2022-06-17_IR1_,P6-C58960,1,0,,A1_B1_P6_2022-06-17_IR1_00020,0.9201,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B1_P6_2022-06-17_IR1_00023,P6|A1_B1_2022-06-17_IR1_,P6-C58961,1,0,,A1_B1_P6_2022-05-12_IR1_00060,0.9206,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-06-17_IR1_00024,P6|A1_B1_2022-06-17_IR1_,P6-C58962,1,0,,A1_B1_P6_2022-05-12_IR1_00062,0.9464,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-06-17_IR1_00025,P6|A1_B1_2022-06-17_IR1_,P6-C58963,1,0,,A1_B1_P6_2022-05-12_IR1_00052,0.9334,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B2_P6_2022-05-12_IR1_00005,P6|A1_B2_2022-05-12_IR1_,P6-C61574,1,0,,A1_B1_P6_2022-05-12_IR1_00074,0.9108,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B2_P6_2022-05-12_IR1_00009,P6|A1_B2_2022-05-12_IR1_,P6-C61578,1,0,,A1_B2_P6_2022-05-12_IR1_00010,0.9159,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00010,P6|A1_B2_2022-05-12_IR1_,P6-C61579,1,0,,A1_B2_P6_2022-05-12_IR1_00006,0.9198,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B2_P6_2022-05-12_IR1_00011,P6|A1_B2_2022-05-12_IR1_,P6-C61580,1,0,,A1_B2_P6_2022-05-12_IR1_00018,0.9127,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00018,P6|A1_B2_2022-05-12_IR1_,P6-C61587,1,0,,A1_B2_P6_2022-05-12_IR1_00035,0.9346,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00019,P6|A1_B2_2022-05-12_IR1_,P6-C61588,1,0,,A1_B2_P6_2022-05-12_IR1_00018,0.9241,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00029,P6|A1_B2_2022-05-12_IR1_,P6-C61598,1,0,,A1_B2_P6_2022-05-12_IR1_00031,0.9202,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B2_P6_2022-05-12_IR1_00032,P6|A1_B2_2022-05-12_IR1_,P6-C61601,1,0,,A1_B2_P6_2022-05-12_IR1_00033,0.9276,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B2_P6_2022-05-12_IR1_00035,P6|A1_B2_2022-05-12_IR1_,P6-C61604,1,0,,A1_B2_P6_2022-05-12_IR1_00036,0.9389,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00036,P6|A1_B2_2022-05-12_IR1_,P6-C61605,1,0,,A1_B2_P6_2022-05-12_IR1_00035,0.9389,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00037,P6|A1_B2_2022-05-12_IR1_,P6-C61606,1,0,,A1_B2_P6_2022-05-12_IR1_00036,0.9355,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B2_P6_2022-05-12_IR1_00042,P6|A1_B2_2022-05-12_IR1_,P6-C61611,1,0,,A1_B1_P6_2022-05-12_IR1_00065,0.89,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B3_P6_2022-05-24_IR1_00044,P6|A1_B3_2022-05-24_IR1_,P6-C63108,1,0,,A1_B3_P6_2022-05-24_IR1_00033,0.9237,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B3_P6_2022-05-24_IR1_00045,P6|A1_B3_2022-05-24_IR1_,P6-C63109,1,0,,A1_B3_P6_2022-05-24_IR1_00056,0.949,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00046,P6|A1_B3_2022-05-24_IR1_,P6-C63110,1,0,,A1_B3_P6_2022-05-24_IR1_00045,0.9413,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00047,P6|A1_B3_2022-05-24_IR1_,P6-C63111,1,0,,A1_B3_P6_2022-05-24_IR1_00063,0.9189,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00048,P6|A1_B3_2022-05-24_IR1_,P6-C63112,1,0,,A1_B2_P6_2022-05-12_IR1_00004,0.9127,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B3_P6_2022-05-24_IR1_00050,P6|A1_B3_2022-05-24_IR1_,P6-C63114,1,0,,A1_B3_P6_2022-05-24_IR1_00056,0.9481,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00051,P6|A1_B3_2022-05-24_IR1_,P6-C63115,1,0,,A1_B3_P6_2022-05-24_IR1_00056,0.9585,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00052,P6|A1_B3_2022-05-24_IR1_,P6-C63116,1,0,,A1_B3_P6_2022-05-24_IR1_00057,0.9501,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00053,P6|A1_B3_2022-05-24_IR1_,P6-C63117,1,0,,A1_B3_P6_2022-05-24_IR1_00067,0.9334,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00055,P6|A1_B3_2022-05-24_IR1_,P6-C63119,1,0,,A1_B3_P6_2022-05-24_IR1_00049,0.9397,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B3_P6_2022-05-24_IR1_00056,P6|A1_B3_2022-05-24_IR1_,P6-C63120,1,0,,A1_B3_P6_2022-05-24_IR1_00051,0.9585,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00057,P6|A1_B3_2022-05-24_IR1_,P6-C63121,1,0,,A1_B3_P6_2022-05-24_IR1_00052,0.9501,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00058,P6|A1_B3_2022-05-24_IR1_,P6-C63122,1,0,,A1_B3_P6_2022-05-24_IR1_00073,0.9358,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B3_P6_2022-05-24_IR1_00059,P6|A1_B3_2022-05-24_IR1_,P6-C63123,1,0,,A1_B3_P6_2022-05-24_IR1_00055,0.9244,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00061,P6|A1_B3_2022-05-24_IR1_,P6-C63125,1,0,,A1_B3_P6_2022-05-24_IR1_00072,0.9399,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00062,P6|A1_B3_2022-05-24_IR1_,P6-C63126,1,0,,A1_B3_P6_2022-05-24_IR1_00057,0.9334,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00063,P6|A1_B3_2022-05-24_IR1_,P6-C63127,1,0,,A1_B3_P6_2022-05-24_IR1_00047,0.9189,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00064,P6|A1_B3_2022-05-24_IR1_,P6-C63128,1,0,,A1_B3_P6_2022-05-24_IR1_00067,0.9269,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00065,P6|A1_B3_2022-05-24_IR1_,P6-C63129,1,0,,A1_B3_P6_2022-05-24_IR1_00070,0.916,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00066,P6|A1_B3_2022-05-24_IR1_,P6-C63130,1,0,,A1_B3_P6_2022-05-24_IR1_00070,0.9436,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00067,P6|A1_B3_2022-05-24_IR1_,P6-C63131,1,0,,A1_B3_P6_2022-05-24_IR1_00053,0.9334,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00068,P6|A1_B3_2022-05-24_IR1_,P6-C63132,1,0,,A1_B3_P6_2022-05-24_IR1_00061,0.9286,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00069,P6|A1_B3_2022-05-24_IR1_,P6-C63133,1,0,,A1_B3_P6_2022-05-24_IR1_00056,0.9289,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00070,P6|A1_B3_2022-05-24_IR1_,P6-C63134,1,0,,A1_B3_P6_2022-05-24_IR1_00056,0.9532,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00071,P6|A1_B3_2022-05-24_IR1_,P6-C63135,1,0,,A1_B3_P6_2022-05-24_IR1_00059,0.9085,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00072,P6|A1_B3_2022-05-24_IR1_,P6-C63136,1,0,,A1_B3_P6_2022-05-24_IR1_00061,0.9399,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B3_P6_2022-05-24_IR1_00074,P6|A1_B3_2022-05-24_IR1_,P6-C63138,1,0,,A1_B3_P6_2022-05-24_IR1_00070,0.9499,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00004,P6|A2_B1_2022-06-03_IR1_,P6-C64465,1,0,,A2_B1_P6_2022-06-03_IR1_00025,0.9214,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00005,P6|A2_B1_2022-06-03_IR1_,P6-C64466,1,0,,A2_B1_P6_2022-06-03_IR1_00004,0.9211,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00006,P6|A2_B1_2022-06-03_IR1_,P6-C64467,1,0,,A2_B1_P6_2022-06-03_IR1_00030,0.93,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00007,P6|A2_B1_2022-06-03_IR1_,P6-C64468,1,0,,A2_B1_P6_2022-06-03_IR1_00024,0.9002,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00008,P6|A2_B1_2022-06-03_IR1_,P6-C64469,1,0,,A2_B1_P6_2022-06-03_IR1_00016,0.9231,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00009,P6|A2_B1_2022-06-03_IR1_,P6-C64470,1,0,,A2_B1_P6_2022-06-03_IR1_00020,0.9239,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00011,P6|A2_B1_2022-06-03_IR1_,P6-C64471,1,0,,A2_B1_P6_2022-06-03_IR1_00019,0.9229,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00013,P6|A2_B1_2022-06-03_IR1_,P6-C64473,1,0,,A2_B1_P6_2022-06-03_IR1_00086,0.9296,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00014,P6|A2_B1_2022-06-03_IR1_,P6-C64474,1,0,,A2_B1_P6_2022-06-03_IR1_00020,0.9414,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00016,P6|A2_B1_2022-06-03_IR1_,P6-C64476,1,0,,A2_B1_P6_2022-06-03_IR1_00008,0.9231,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00017,P6|A2_B1_2022-06-03_IR1_,P6-C64477,1,0,,A2_B1_P6_2022-06-03_IR1_00027,0.9072,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00018,P6|A2_B1_2022-06-03_IR1_,P6-C64478,1,0,,A2_B1_P6_2022-06-03_IR1_00012,0.909,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00019,P6|A2_B1_2022-06-03_IR1_,P6-C64479,1,0,,A2_B1_P6_2022-06-03_IR1_00011,0.9229,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00020,P6|A2_B1_2022-06-03_IR1_,P6-C64480,1,0,,A2_B1_P6_2022-06-03_IR1_00014,0.9414,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A2_B1_P6_2022-06-03_IR1_00022,P6|A2_B1_2022-06-03_IR1_,P6-C64482,1,0,,A2_B1_P6_2022-06-03_IR1_00026,0.9106,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00108,P6|A2_B1_2022-06-03_IR1_,P6-C64566,1,0,,A2_B1_P6_2022-06-03_IR1_00078,0.9582,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00109,P6|A2_B1_2022-06-03_IR1_,P6-C64567,1,0,,A2_B1_P6_2022-06-03_IR1_00079,0.9524,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00110,P6|A2_B1_2022-06-03_IR1_,P6-C64568,1,0,,A2_B1_P6_2022-06-03_IR1_00080,0.9287,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00111,P6|A2_B1_2022-06-03_IR1_,P6-C64569,1,0,,A2_B1_P6_2022-06-03_IR1_00079,0.9481,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A2_B1_P6_2022-06-03_IR1_00112,P6|A2_B1_2022-06-03_IR1_,P6-C64570,1,0,,A2_B1_P6_2022-06-03_IR1_00079,0.9435,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A3_B2_P6_2022-06-17_IR1_00001,P6|A3_B2_2022-06-17_IR1_,P6-C66382,1,0,,A3_B2_P6_2022-06-17_IR1_00011,0.9386,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00002,P6|A3_B2_2022-06-17_IR1_,P6-C66383,1,0,,A3_B2_P6_2022-06-17_IR1_00005,0.9064,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00003,P6|A3_B2_2022-06-17_IR1_,P6-C66384,1,0,,A3_B2_P6_2022-06-17_IR1_00011,0.9327,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00004,P6|A3_B2_2022-06-17_IR1_,P6-C66385,1,0,,A2_B1_P6_2022-06-03_IR1_00086,0.9286,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A3_B2_P6_2022-06-17_IR1_00005,P6|A3_B2_2022-06-17_IR1_,P6-C66386,1,0,,A3_B2_P6_2022-06-17_IR1_00001,0.9246,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00006,P6|A3_B2_2022-06-17_IR1_,P6-C66387,1,0,,A3_B3_P6_2022-06-17_IR1_00020,0.9006,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00007,P6|A3_B2_2022-06-17_IR1_,P6-C66388,1,0,,A3_B2_P6_2022-06-17_IR1_00008,0.9138,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00008,P6|A3_B2_2022-06-17_IR1_,P6-C66389,1,0,,A3_B2_P6_2022-06-17_IR1_00009,0.9358,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00009,P6|A3_B2_2022-06-17_IR1_,P6-C66390,1,0,,A3_B2_P6_2022-06-17_IR1_00008,0.9358,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00010,P6|A3_B2_2022-06-17_IR1_,P6-C66391,1,0,,A3_B2_P6_2022-06-17_IR1_00001,0.8964,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B2_P6_2022-06-17_IR1_00011,P6|A3_B2_2022-06-17_IR1_,P6-C66392,1,0,,A3_B2_P6_2022-06-17_IR1_00001,0.9386,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00015,P6|A3_B3_2022-06-17_IR1_,P6-C66393,1,0,,A1_B3_P6_2022-07-19_IR2_00795,0.8692,,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00016,P6|A3_B3_2022-06-17_IR1_,P6-C66394,1,0,,A3_B3_P6_2022-06-17_IR1_00015,0.8588,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00017,P6|A3_B3_2022-06-17_IR1_,P6-C66395,1,0,,A1_B1_P6_2022-05-12_IR1_00042,0.8822,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A3_B3_P6_2022-06-17_IR1_00018,P6|A3_B3_2022-06-17_IR1_,P6-C66396,1,0,,A3_B3_P6_2022-06-17_IR1_00033,0.8786,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00019,P6|A3_B3_2022-06-17_IR1_,P6-C66397,1,0,,A3_B3_P6_2022-06-17_IR1_00031,0.935,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00020,P6|A3_B3_2022-06-17_IR1_,P6-C66398,1,0,,A3_B3_P6_2022-06-17_IR1_00026,0.9377,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00021,P6|A3_B3_2022-06-17_IR1_,P6-C66399,1,0,,A3_B3_P6_2022-06-17_IR1_00023,0.9326,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00022,P6|A3_B3_2022-06-17_IR1_,P6-C66400,1,0,,A3_B3_P6_2022-06-17_IR1_00030,0.9393,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00023,P6|A3_B3_2022-06-17_IR1_,P6-C66401,1,0,,A3_B3_P6_2022-06-17_IR1_00021,0.9326,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00024,P6|A3_B3_2022-06-17_IR1_,P6-C66402,1,0,,A3_B3_P6_2022-06-17_IR1_00025,0.9095,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00025,P6|A3_B3_2022-06-17_IR1_,P6-C66403,1,0,,A3_B3_P6_2022-06-17_IR1_00031,0.9137,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00026,P6|A3_B3_2022-06-17_IR1_,P6-C66404,1,0,,A3_B3_P6_2022-06-17_IR1_00020,0.9377,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00027,P6|A3_B3_2022-06-17_IR1_,P6-C66405,1,0,,A3_B3_P6_2022-06-17_IR1_00032,0.9179,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00028,P6|A3_B3_2022-06-17_IR1_,P6-C66406,1,0,,A3_B3_P6_2022-06-17_IR1_00027,0.913,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00029,P6|A3_B3_2022-06-17_IR1_,P6-C66407,1,0,,A3_B3_P6_2022-06-17_IR1_00022,0.9237,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00030,P6|A3_B3_2022-06-17_IR1_,P6-C66408,1,0,,A3_B3_P6_2022-06-17_IR1_00031,0.9502,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00031,P6|A3_B3_2022-06-17_IR1_,P6-C66409,1,0,,A3_B3_P6_2022-06-17_IR1_00030,0.9502,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00032,P6|A3_B3_2022-06-17_IR1_,P6-C66410,1,0,,A3_B3_P6_2022-06-17_IR1_00031,0.927,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A3_B3_P6_2022-06-17_IR1_00033,P6|A3_B3_2022-06-17_IR1_,P6-C66411,1,0,,A3_B3_P6_2022-06-17_IR1_00018,0.8786,0,정상 음성 가능 — 유사한 라벨 이미지 없음
