guide_no,class_id,class_name,canonical_name,label_status,mark,basis,annotation_unit,unit_confirmed,unit_basis,panels,aliases,notes
11,10,silencer_power_fuse,소음기부착형 전력퓨즈,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P1 P5,전력퓨즈,TR 반 · PF&PT 반 공통
12,11,mold_pt,몰드타입 PT,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P4 P5,PT,
13,12,branch_contact,분기 접촉부,폐지,폐지,[폐지] 새 가이드에서 PF&PT 반도 케이블헤드로 통일. 신규 라벨 금지 · 기존 실적 0건 · 라벨 승계 없음 (DEC-025),UNKNOWN,N,부품 단위가 자명 — 별도 근거 불요 (DEC-015),,,[폐지] 새 가이드에서 PF&PT 반도 케이블헤드로 통일. 신규 라벨 금지 · 기존 실적 0건 · 라벨 승계 없음 (DEC-025)
14,13,cable_head,케이블헤드,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P2 P5 P6,분기 접촉부,VCB·CNCV 반. v1 '분기 접촉부' 를 케이블헤드로 통일
15,14,vcb_contact,VCB 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,CONTACT_POINT,Y,참고 P6 159박스 · 세로비 중앙 0.246 · 표본 15장 육안 판정 CONTACT_POINT 10 / PARTIAL_LABELING 5 / TERMINAL_GROUP 0 (DEC-024),P6 P7,,
16,15,ct,CT,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P6 P7,,v2 에서 VCB 반에 신규 추가. 계기 표시창이 달린 적갈색 몰드형
17,16,sa,SA,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P6,,"v2 신규. 백색 애자형 원통, 대·소 3개 1조 (서지흡수기)"
18,17,capacitor,콘덴서,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P8 P10,,
19,18,mccb,MCCB,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P8 P9 P10,,
20,19,incoming_contact,인입선로 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,UNKNOWN,N,정본·참고 모두 라벨 실적 0건 (NQ-13),P5,,[2026-09-02] 개정 PDF 가공대상 포함 · 보류 표기 없음 -> 주의에서 가공으로 상향 (DEC-027). 이전 판 비고 '반사 때문에 탐지 정확도가 떨어짐' 은 개정 판에서 사라졌다. 단위 미확정이라 아직 비배포 (NQ-13)
21,20,busbar,부스바,제외,X,일정한 패턴이 없어 탐지 정확도가 떨어짐,UNKNOWN,N,부품 단위가 자명 — 별도 근거 불요 (DEC-015),,,
22,21,cable,케이블,제외,X,일정한 패턴이 없어 탐지 정확도가 떨어짐,UNKNOWN,N,부품 단위가 자명 — 별도 근거 불요 (DEC-015),,,"케이블헤드(#14, 가공대상)와 혼동하지 않는다"
23,22,lbs_secondary,LBS 2차측 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,UNKNOWN,N,정본·참고 모두 라벨 실적 0건 (NQ-13),P2,,v1 보류 -> v2 가공대상 전환
24,23,transformer_contact,변압기 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,UNKNOWN,N,정본 3박스뿐 · 단위 판정 표본 부족 (NQ-13),P4,,v1 보류 -> v2 가공대상 전환
25,24,ct_transformer_contact,변류기 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,CONTACT_POINT,Y,정본 P3·P4 219박스 · 세로비 중앙 0.379 (DEC-014),P3 P4,,v1 보류 -> v2 가공대상 전환
26,25,ct_contact,CT 접촉부,주의,!,배전반 내 위치때문에 잘 안보임,UNKNOWN,N,정본·참고 모두 라벨 실적 0건 (NQ-13),P7,,
27,26,acb_contact,ACB 접촉부,제외,X,배전반 내 위치때문에 잘 안보임,UNKNOWN,N,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P8 P10,,
28,27,mccb_contact,MCCB 접촉부,주의,!,다른 접촉부와 구분이 안됨,TERMINAL_GROUP,Y,"가이드 ACB&MCCB 반 예시 이미지 + 참고 P9 1,777박스 · 세로비 중앙 0.922 (DEC-015)",P8 P9 P10,,
